azimuth_deg,horizon_altitude_deg,distance_m,x,y,z,valid_samples,status
44.5,0.0,,,,,0,NO_VALID_DSM
44.6,0.0,,,,,0,NO_VALID_DSM
44.7,0.0,,,,,0,NO_VALID_DSM
44.8,0.0,,,,,0,NO_VALID_DSM
44.9,0.0,,,,,0,NO_VALID_DSM
45.0,0.0,,,,,0,NO_VALID_DSM
45.1,0.0,,,,,0,NO_VALID_DSM
45.2,0.0,,,,,0,NO_VALID_DSM
45.3,0.0,,,,,0,NO_VALID_DSM
45.4,0.0,,,,,0,NO_VALID_DSM
45.5,0.0,,,,,0,NO_VALID_DSM
45.6,0.0,,,,,0,NO_VALID_DSM
45.7,0.0,,,,,0,NO_VALID_DSM
45.8,0.0,,,,,0,NO_VALID_DSM
45.9,0.0,,,,,0,NO_VALID_DSM
46.0,0.0,,,,,0,NO_VALID_DSM
46.1,0.0,,,,,0,NO_VALID_DSM
46.2,0.0,,,,,0,NO_VALID_DSM
46.3,0.0,,,,,0,NO_VALID_DSM
46.4,0.0,,,,,0,NO_VALID_DSM
46.5,0.0,,,,,0,NO_VALID_DSM
46.6,0.0,,,,,0,NO_VALID_DSM
46.7,0.0,,,,,0,NO_VALID_DSM
46.8,0.0,,,,,0,NO_VALID_DSM
46.9,0.0,,,,,0,NO_VALID_DSM
47.0,0.0,,,,,0,NO_VALID_DSM
47.1,0.0,,,,,0,NO_VALID_DSM
47.2,0.0,,,,,0,NO_VALID_DSM
47.3,0.0,,,,,0,NO_VALID_DSM
47.4,0.0,,,,,0,NO_VALID_DSM
47.5,0.0,,,,,0,NO_VALID_DSM
47.6,0.0,,,,,0,NO_VALID_DSM
47.7,0.0,,,,,0,NO_VALID_DSM
47.8,0.0,,,,,0,NO_VALID_DSM
47.9,0.0,,,,,0,NO_VALID_DSM
48.0,0.0,,,,,0,NO_VALID_DSM
48.1,0.0,,,,,0,NO_VALID_DSM
48.2,0.0,,,,,0,NO_VALID_DSM
48.3,0.0,,,,,0,NO_VALID_DSM
48.4,0.0,,,,,0,NO_VALID_DSM
48.5,0.0,,,,,0,NO_VALID_DSM
48.6,0.0,,,,,0,NO_VALID_DSM
48.7,0.0,,,,,0,NO_VALID_DSM
48.8,0.0,,,,,0,NO_VALID_DSM
48.9,0.0,,,,,0,NO_VALID_DSM
49.0,0.0,,,,,0,NO_VALID_DSM
49.1,0.0,,,,,0,NO_VALID_DSM
49.2,0.0,,,,,0,NO_VALID_DSM
49.3,0.0,,,,,0,NO_VALID_DSM
49.4,0.0,,,,,0,NO_VALID_DSM
49.5,0.0,,,,,0,NO_VALID_DSM
49.6,0.0,,,,,0,NO_VALID_DSM
49.7,0.0,,,,,0,NO_VALID_DSM
49.8,0.0,,,,,0,NO_VALID_DSM
49.9,0.0,,,,,0,NO_VALID_DSM
50.0,0.0,,,,,0,NO_VALID_DSM
50.1,0.0,,,,,0,NO_VALID_DSM
50.2,0.0,,,,,0,NO_VALID_DSM
50.3,0.0,,,,,0,NO_VALID_DSM
50.4,0.0,,,,,0,NO_VALID_DSM
50.5,0.0,,,,,0,NO_VALID_DSM
50.6,0.0,,,,,0,NO_VALID_DSM
50.7,0.0,,,,,0,NO_VALID_DSM
50.8,0.0,,,,,0,NO_VALID_DSM
50.9,0.0,,,,,0,NO_VALID_DSM
51.0,0.0,,,,,0,NO_VALID_DSM
51.1,0.0,,,,,0,NO_VALID_DSM
51.2,0.0,,,,,0,NO_VALID_DSM
51.3,0.0,,,,,0,NO_VALID_DSM
51.4,0.0,,,,,0,NO_VALID_DSM
51.5,0.0,,,,,0,NO_VALID_DSM
51.6,0.0,,,,,0,NO_VALID_DSM
51.7,0.0,,,,,0,NO_VALID_DSM
51.8,0.0,,,,,0,NO_VALID_DSM
51.9,0.0,,,,,0,NO_VALID_DSM
52.0,0.0,,,,,0,NO_VALID_DSM
52.1,0.0,,,,,0,NO_VALID_DSM
52.2,0.0,,,,,0,NO_VALID_DSM
52.3,0.0,,,,,0,NO_VALID_DSM
52.4,0.0,,,,,0,NO_VALID_DSM
52.5,0.0,,,,,0,NO_VALID_DSM
52.6,0.0,,,,,0,NO_VALID_DSM
52.7,0.0,,,,,0,NO_VALID_DSM
52.8,0.0,,,,,0,NO_VALID_DSM
52.9,0.0,,,,,0,NO_VALID_DSM
53.0,0.0,,,,,0,NO_VALID_DSM
53.1,0.0,,,,,0,NO_VALID_DSM
53.2,0.0,,,,,0,NO_VALID_DSM
53.3,0.0,,,,,0,NO_VALID_DSM
53.4,0.0,,,,,0,NO_VALID_DSM
53.5,0.0,,,,,0,NO_VALID_DSM
53.6,0.0,,,,,0,NO_VALID_DSM
53.7,0.0,,,,,0,NO_VALID_DSM
53.8,0.0,,,,,0,NO_VALID_DSM
53.9,0.0,,,,,0,NO_VALID_DSM
54.0,0.0,,,,,0,NO_VALID_DSM
54.1,0.0,,,,,0,NO_VALID_DSM
54.2,0.0,,,,,0,NO_VALID_DSM
54.3,0.0,,,,,0,NO_VALID_DSM
54.4,0.0,,,,,0,NO_VALID_DSM
54.5,0.0,,,,,0,NO_VALID_DSM
54.6,0.0,,,,,0,NO_VALID_DSM
54.7,0.0,,,,,0,NO_VALID_DSM
54.8,0.0,,,,,0,NO_VALID_DSM
54.9,0.0,,,,,0,NO_VALID_DSM
55.0,0.0,,,,,0,NO_VALID_DSM
55.1,0.0,,,,,0,NO_VALID_DSM
55.2,0.0,,,,,0,NO_VALID_DSM
