Azimut,Altitud_grados,Distancia_m,Cota_m
2.55500,2.00429,118.70,104.437
2.56000,2.00429,118.70,104.437
2.56500,2.00429,118.70,104.437
2.57000,2.00429,118.70,104.437
2.57500,2.00429,118.70,104.437
2.58000,2.00429,118.70,104.437
2.58500,2.00429,118.70,104.437
2.59000,2.00429,118.70,104.437
2.59500,2.00429,118.70,104.437
2.60000,2.00429,118.70,104.437
2.60500,2.00429,118.70,104.437
2.61000,2.00429,118.70,104.437
2.61500,2.00429,118.70,104.437
2.62000,2.00429,118.70,104.437
2.62500,2.00429,118.70,104.437
2.63000,2.00429,118.70,104.437
2.63500,2.00429,118.70,104.437
2.64000,2.00429,118.70,104.437
2.64500,2.00429,118.70,104.437
2.65000,2.00429,118.70,104.437
2.65500,2.00429,118.70,104.437
2.66000,2.00598,118.60,104.437
2.66500,2.01106,118.30,104.437
2.67000,2.01276,118.20,104.437
2.67500,2.01276,118.20,104.437
2.68000,2.01276,118.20,104.437
2.68500,2.01276,118.20,104.437
2.69000,2.12800,106.60,104.244
2.69500,2.13199,106.40,104.244
2.70000,2.13601,106.20,104.244
2.70500,2.14003,106.00,104.244
2.71000,2.14407,105.80,104.244
2.71500,2.14610,105.70,104.244
2.72000,2.14610,105.70,104.244
2.72500,2.14610,105.70,104.244
2.73000,2.14610,105.70,104.244
2.73500,2.14610,105.70,104.244
2.74000,2.14610,105.70,104.244
2.74500,2.14610,105.70,104.244
2.75000,2.14610,105.70,104.244
2.75500,2.14610,105.70,104.244
2.76000,2.14610,105.70,104.244
2.76500,2.14610,105.70,104.244
2.77000,2.14610,105.70,104.244
2.77500,2.14610,105.70,104.244
2.78000,2.14610,105.70,104.244
2.78500,2.14610,105.70,104.244
2.79000,2.14610,105.70,104.244
2.79500,2.14610,105.70,104.244
2.80000,2.14610,105.70,104.244
2.80500,2.14610,105.70,104.244
2.81000,2.14610,105.70,104.244
2.81500,2.14610,105.70,104.244
2.82000,2.14610,105.70,104.244
2.82500,2.14610,105.70,104.244
2.83000,2.14610,105.70,104.244
2.83500,2.14610,105.70,104.244
2.84000,2.14610,105.70,104.244
2.84500,2.14610,105.70,104.244
2.85000,2.14610,105.70,104.244
2.85500,2.14610,105.70,104.244
2.86000,2.14610,105.70,104.244
2.86500,2.14610,105.70,104.244
2.87000,2.14610,105.70,104.244
2.87500,2.14610,105.70,104.244
2.88000,2.14610,105.70,104.244
2.88500,2.14610,105.70,104.244
2.89000,2.14610,105.70,104.244
2.89500,2.14610,105.70,104.244
2.90000,2.14610,105.70,104.244
2.90500,2.14610,105.70,104.244
2.91000,2.14610,105.70,104.244
2.91500,2.14610,105.70,104.244
2.92000,2.14610,105.70,104.244
2.92500,2.14610,105.70,104.244
2.93000,2.14610,105.70,104.244
2.93500,2.14610,105.70,104.244
2.94000,2.14610,105.70,104.244
2.94500,2.14610,105.70,104.244
2.95000,2.14610,105.70,104.244
2.95500,2.14610,105.70,104.244
2.96000,2.14610,105.70,104.244
2.96500,2.14610,105.70,104.244
2.97000,2.14839,106.20,104.267
2.97500,2.15244,106.00,104.267
2.98000,2.15651,105.80,104.267
2.98500,2.15855,105.70,104.267
2.99000,2.15855,105.70,104.267
2.99500,2.15855,105.70,104.267
3.00000,2.15855,105.70,104.267
3.00500,2.15855,105.70,104.267
3.01000,2.15855,105.70,104.267
3.01500,2.15855,105.70,104.267
3.02000,2.15855,105.70,104.267
3.02500,2.15855,105.70,104.267
3.03000,2.15855,105.70,104.267
3.03500,2.15855,105.70,104.267
3.04000,2.15855,105.70,104.267
3.04500,2.15855,105.70,104.267
3.05000,2.15855,105.70,104.267
3.05500,2.15855,105.70,104.267
3.06000,2.15855,105.70,104.267
3.06500,2.15855,105.70,104.267
3.07000,2.15855,105.70,104.267
3.07500,2.15855,105.70,104.267
3.08000,2.15855,105.70,104.267
3.08500,2.15855,105.70,104.267
3.09000,2.15855,105.70,104.267
3.09500,2.15855,105.70,104.267
3.10000,2.15855,105.70,104.267
3.10500,2.15855,105.70,104.267
3.11000,2.15855,105.70,104.267
3.11500,2.15855,105.70,104.267
3.12000,2.15855,105.70,104.267
3.12500,2.15855,105.70,104.267
3.13000,2.15855,105.70,104.267
3.13500,2.15855,105.70,104.267
3.14000,2.15855,105.70,104.267
3.14500,2.15855,105.70,104.267
3.15000,2.15855,105.70,104.267
3.15500,2.15855,105.70,104.267
3.16000,2.15855,105.70,104.267
3.16500,2.15855,105.70,104.267
3.17000,2.15855,105.70,104.267
3.17500,2.15855,105.70,104.267
3.18000,2.15855,105.70,104.267
3.18500,2.15855,105.70,104.267
3.19000,2.15855,105.70,104.267
3.19500,2.15855,105.70,104.267
3.20000,2.15855,105.70,104.267
3.20500,2.15855,105.70,104.267
3.21000,2.15855,105.70,104.267
3.21500,2.15855,105.70,104.267
3.22000,2.15855,105.70,104.267
3.22500,2.15855,105.70,104.267
3.23000,2.15855,105.70,104.267
3.23500,2.15855,105.70,104.267
3.24000,2.15855,105.70,104.267
3.24500,2.15855,105.70,104.267
3.25000,2.15855,105.70,104.267
3.25500,2.15855,105.70,104.267
3.26000,2.15855,105.70,104.267
3.26500,2.15855,105.70,104.267
3.27000,2.15855,105.70,104.267
3.27500,2.15855,105.70,104.267
3.28000,2.15855,105.70,104.267
3.28500,2.15855,105.70,104.267
3.29000,2.15855,105.70,104.267
3.29500,2.15855,105.70,104.267
3.30000,2.15855,105.70,104.267
3.30500,2.15855,105.70,104.267
3.31000,2.15855,105.70,104.267
3.31500,2.15855,105.70,104.267
3.32000,2.15855,105.70,104.267
3.32500,2.15855,105.70,104.267
3.33000,2.15855,105.70,104.267
3.33500,2.15855,105.70,104.267
3.34000,2.15855,105.70,104.267
3.34500,2.15855,105.70,104.267
3.35000,2.15855,105.70,104.267
3.35500,2.15855,105.70,104.267
3.36000,2.15855,105.70,104.267
3.36500,2.15855,105.70,104.267
3.37000,2.15855,105.70,104.267
3.37500,2.15855,105.70,104.267
3.38000,2.15855,105.70,104.267
3.38500,2.15855,105.70,104.267
3.39000,2.15855,105.70,104.267
3.39500,2.15855,105.70,104.267
3.40000,2.15855,105.70,104.267
3.40500,2.15855,105.70,104.267
3.41000,2.15855,105.70,104.267
3.41500,2.15855,105.70,104.267
3.42000,2.15855,105.70,104.267
3.42500,2.15855,105.70,104.267
3.43000,2.15855,105.70,104.267
3.43500,2.15855,105.70,104.267
3.44000,2.15855,105.70,104.267
3.44500,2.15855,105.70,104.267
3.45000,2.15855,105.70,104.267
3.45500,2.15855,105.70,104.267
3.46000,2.15855,105.70,104.267
3.46500,2.15855,105.70,104.267
3.47000,2.15855,105.70,104.267
3.47500,2.15855,105.70,104.267
3.48000,2.15855,105.70,104.267
3.48500,2.15855,105.70,104.267
3.49000,2.15855,105.70,104.267
3.49500,2.16032,106.70,104.308
3.50000,2.16032,106.70,104.308
3.50500,2.16032,106.70,104.308
3.51000,2.15855,105.70,104.267
3.51500,2.15855,105.70,104.267
3.52000,2.15855,105.70,104.267
3.52500,2.15855,105.70,104.267
3.53000,2.15830,106.80,104.308
3.53500,2.15830,106.80,104.308
3.54000,2.15830,106.80,104.308
3.54500,2.15830,106.80,104.308
3.55000,2.15830,106.80,104.308
3.55500,2.15830,106.80,104.308
3.56000,2.15830,106.80,104.308
3.56500,2.15830,106.80,104.308
3.57000,2.15830,106.80,104.308
3.57500,2.15830,106.80,104.308
3.58000,2.15830,106.80,104.308
3.58500,2.15830,106.80,104.308
3.59000,2.15830,106.80,104.308
3.59500,2.15830,106.80,104.308
3.60000,2.15830,106.80,104.308
3.60500,2.15830,106.80,104.308
3.61000,2.15830,106.80,104.308
3.61500,2.15830,106.80,104.308
3.62000,2.15830,106.80,104.308
3.62500,2.15830,106.80,104.308
3.63000,2.15830,106.80,104.308
3.63500,2.15830,106.80,104.308
3.64000,2.15830,106.80,104.308
3.64500,2.15830,106.80,104.308
3.65000,2.15830,106.80,104.308
3.65500,2.15830,106.80,104.308
3.66000,2.15830,106.80,104.308
3.66500,2.15830,106.80,104.308
3.67000,2.15830,106.80,104.308
3.67500,2.15830,106.80,104.308
3.68000,2.15830,106.80,104.308
3.68500,2.30993,855.80,134.804
3.69000,2.31128,855.30,134.804
3.69500,2.31128,855.30,134.804
3.70000,2.31128,855.30,134.804
3.70500,2.31128,855.30,134.804
3.71000,2.31128,855.30,134.804
3.71500,2.31128,855.30,134.804
3.72000,2.31101,855.40,134.804
3.72500,2.31101,855.40,134.804
3.73000,2.31823,107.70,104.643
3.73500,2.32254,107.50,104.643
3.74000,2.32470,107.40,104.643
3.74500,2.37187,857.40,135.797
3.75000,2.47014,856.40,137.227
3.75500,2.47014,856.40,137.227
3.76000,2.47014,856.40,137.227
3.76500,2.47014,856.40,137.227
3.77000,2.47014,856.40,137.227
3.77500,2.47014,856.40,137.227
3.78000,2.47014,856.40,137.227
3.78500,2.48863,856.40,137.504
3.79000,2.48863,856.40,137.504
3.79500,2.48863,856.40,137.504
3.80000,2.48863,856.40,137.504
3.80500,2.48863,856.40,137.504
3.81000,2.48863,856.40,137.504
3.81500,2.50759,856.70,137.801
3.82000,2.50964,856.00,137.801
3.82500,2.50964,856.00,137.801
3.83000,2.50964,856.00,137.801
3.83500,2.50964,856.00,137.801
3.84000,2.50964,856.00,137.801
3.84500,2.50964,856.00,137.801
3.85000,2.59269,856.50,139.067
